Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-06T09:30:00+01:00;7;Tirol;48813;583;46855;87;23;1604167;597648;1006519
2021-03-06T09:30:00+01:00;8;Vorarlberg;24103;277;23375;26;4;896689;304480;592209
2021-03-06T09:30:00+01:00;9;Wien;95590;1720;88540;392;107;3471274;1829876;1641398
2021-03-06T09:30:00+01:00;10;Österreich;472871;8694;441309;1451;322;16374288;5657696;10716592
2021-03-07T09:30:00+01:00;1;Burgenland;13246;242;12092;59;13;694733;160380;534353
2021-03-07T09:30:00+01:00;2;Kärnten;30205;699;28075;98;16;711909;224122;487787
2021-03-07T09:30:00+01:00;3;Niederösterreich;77715;1384;70476;355;84;3738592;1195621;2542971
2021-03-07T09:30:00+01:00;4;Oberösterreich;88463;1527;84179;136;21;2428659;558448;1870211
2021-03-07T09:30:00+01:00;5;Salzburg;38463;503;36087;82;11;939879;282427;657452
2021-03-07T09:30:00+01:00;6;Steiermark;57770;1775;53077;214;34;1993544;520159;1473385
2021-03-07T09:30:00+01:00;7;Tirol;48894;583;46953;82;22;1619308;599943;1019365
2021-03-07T09:30:00+01:00;8;Vorarlberg;24125;278;23413;27;4;904537;305649;598888
2021-03-07T09:30:00+01:00;9;Wien;96189;1722;88800;394;109;3501971;1836430;1665541
2021-03-07T09:30:00+01:00;10;Österreich;475070;8713;443152;1447;314;16533132;5683179;10849953
2021-03-08T09:30:00+01:00;1;Burgenland;13272;243;12122;66;12;705722;160835;544887
2021-03-08T09:30:00+01:00;2;Kärnten;30253;700;28266;97;17;713785;225967;487818
2021-03-08T09:30:00+01:00;3;Niederösterreich;78190;1392;70940;365;85;3765805;1203769;2562036
2021-03-08T09:30:00+01:00;4;Oberösterreich;88743;1527;84530;148;24;2452634;560051;1892583
2021-03-08T09:30:00+01:00;5;Salzburg;38561;502;36210;90;14;947009;283512;663497
2021-03-08T09:30:00+01:00;6;Steiermark;58032;1778;53325;221;36;1996501;523116;1473385
2021-03-08T09:30:00+01:00;7;Tirol;49010;583;47045;85;21;1633325;602260;1031065
2021-03-08T09:30:00+01:00;8;Vorarlberg;24147;278;23446;28;4;911122;306153;604969
2021-03-08T09:30:00+01:00;9;Wien;96772;1729;89148;422;118;3529309;1842699;1686610
2021-03-08T09:30:00+01:00;10;Österreich;476980;8732;445032;1522;331;16655212;5708362;10946850
